Format Version,1.21,Take Name,Take 2022-02-08 06.47.42 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-08 06.47.42.720 PM,Total Frames in Take,64656,Total Exported Frames,5775,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
1088,9.066667,-0.501305,0.178605,-0.158595,-0.500359,0.152190,-0.255938,-0.497837,0.365637,-0.045835
1089,9.075000,-0.501305,0.178498,-0.158596,-0.500360,0.152196,-0.255931,-0.497843,0.365516,-0.045771
1090,9.083333,-0.501295,0.178413,-0.158621,-0.500357,0.152203,-0.255931,-0.497837,0.365417,-0.045801
1091,9.091667,-0.501287,0.178319,-0.158643,-0.500356,0.152184,-0.255910,-0.497811,0.365319,-0.045845
1092,9.100000,-0.501292,0.178225,-0.158646,-0.500359,0.152191,-0.255922,-0.497807,0.365220,-0.045867
1093,9.108333,-0.501296,0.178149,-0.158659,-0.500349,0.152200,-0.255961,-0.497800,0.365134,-0.045865
1094,9.116667,-0.501293,0.178081,-0.158685,-0.500350,0.152194,-0.255959,-0.497786,0.365059,-0.045901
1095,9.125000,-0.501298,0.178009,-0.158710,-0.500351,0.152190,-0.255972,-0.497800,0.364977,-0.045867
1096,9.133333,-0.501290,0.177914,-0.158711,-0.500346,0.152196,-0.255997,-0.497795,0.364902,-0.045887
1097,9.141667,-0.501284,0.177706,-0.158775,-0.500353,0.152178,-0.255978,-0.497794,0.364815,-0.045880
1098,9.150000,-0.501305,0.177570,-0.158733,-0.500351,0.152194,-0.255993,-0.497790,0.364748,-0.045893
1099,9.158333,-0.501305,0.177493,-0.158758,-0.500354,0.152196,-0.255978,-0.497788,0.364674,-0.045907
1100,9.166667,-0.501308,0.177422,-0.158748,-0.500353,0.152198,-0.255970,-0.497789,0.364604,-0.045923
1101,9.175000,-0.501301,0.177334,-0.158726,-0.500350,0.152210,-0.255972,-0.497796,0.364507,-0.045893
1102,9.183333,-0.501308,0.177243,-0.158695,-0.500362,0.152190,-0.255918,-0.497805,0.364418,-0.045891
1103,9.191667,-0.501300,0.177178,-0.158692,-0.500348,0.152197,-0.255924,-0.497806,0.364342,-0.045874
1104,9.200000,-0.501295,0.177098,-0.158690,-0.500354,0.152194,-0.255913,-0.497805,0.364258,-0.045884
1105,9.208333,-0.501291,0.177004,-0.158669,-0.500353,0.152199,-0.255921,-0.497793,0.364187,-0.045900
1106,9.216667,-0.501288,0.176932,-0.158666,-0.500355,0.152190,-0.255917,-0.497797,0.364079,-0.045859
1107,9.225000,-0.501294,0.176950,-0.158616,-0.500345,0.152190,-0.255931,-0.497776,0.363995,-0.045901
1108,9.233333,-0.501291,0.176854,-0.158594,-0.500350,0.152189,-0.255958,-0.497769,0.363899,-0.045916
1109,9.241667,-0.501278,0.176779,-0.158631,-0.500356,0.152179,-0.255945,-0.497762,0.363807,-0.045950
1110,9.250000,-0.501265,0.176597,-0.158716,-0.500348,0.152195,-0.255980,-0.497756,0.363725,-0.045991
1111,9.258333,-0.501272,0.176504,-0.158726,-0.500353,0.152184,-0.255965,-0.497751,0.363632,-0.045983
1112,9.266667,-0.501271,0.176424,-0.158731,-0.500354,0.152192,-0.255979,-0.497743,0.363558,-0.046013
1113,9.275000,-0.501273,0.176346,-0.158745,-0.500352,0.152199,-0.255984,-0.497758,0.363466,-0.045987
1114,9.283333,-0.501269,0.176274,-0.158747,-0.500351,0.152184,-0.255944,-0.497772,0.363381,-0.045953
1115,9.291667,-0.501271,0.176204,-0.158737,-0.500357,0.152185,-0.255940,-0.497765,0.363329,-0.045957
1116,9.300000,-0.501266,0.176141,-0.158780,-0.500356,0.152179,-0.255934,-0.497777,0.363239,-0.045926
1117,9.308333,-0.501265,0.176066,-0.158747,-0.500350,0.152188,-0.255944,-0.497775,0.363183,-0.045913
1118,9.316667,-0.501270,0.175961,-0.158725,-0.500357,0.152200,-0.255947,-0.497765,0.363132,-0.045924
