Format Version,1.21,Take Name,zzz70,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.17.13.611 PM,Total Frames in Take,10941,Total Exported Frames,10941,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
32,0.266667,-0.279989,0.230723,0.382629,-0.278572,0.017150,0.253158,-0.266809,-0.011002,0.218137,-0.264411,0.008460,0.162984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.279995,0.230721,0.382628,-0.278572,0.017150,0.253157,-0.266806,-0.011007,0.218143,-0.264428,0.008471,0.162989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.279992,0.230716,0.382627,-0.278572,0.017144,0.253160,-0.266810,-0.010994,0.218132,-0.264428,0.008469,0.162982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.279989,0.230713,0.382631,-0.278579,0.017152,0.253156,-0.266807,-0.011001,0.218136,-0.264429,0.008465,0.162990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-0.279986,0.230717,0.382623,-0.278573,0.017144,0.253167,-0.266807,-0.011011,0.218140,-0.264412,0.008455,0.162990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-0.279985,0.230714,0.382632,-0.278568,0.017143,0.253159,-0.266803,-0.011005,0.218138,-0.264406,0.008456,0.162991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,-0.279992,0.230714,0.382620,-0.278565,0.017142,0.253163,-0.266802,-0.011007,0.218136,-0.264404,0.008447,0.162999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-0.279985,0.230717,0.382619,-0.278565,0.017147,0.253156,-0.266805,-0.011003,0.218125,-0.264423,0.008463,0.162984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-0.279987,0.230717,0.382623,-0.278568,0.017146,0.253153,-0.266806,-0.011003,0.218130,-0.264406,0.008455,0.162991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-0.279987,0.230715,0.382628,-0.278572,0.017153,0.253148,-0.266808,-0.011003,0.218139,-0.264407,0.008449,0.162989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-0.279980,0.230712,0.382626,-0.278563,0.017153,0.253155,-0.266804,-0.011001,0.218133,-0.264419,0.008456,0.162993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,-0.279988,0.230711,0.382619,-0.278565,0.017144,0.253165,-0.266801,-0.011004,0.218140,-0.264404,0.008453,0.162993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,-0.279981,0.230717,0.382638,-0.278570,0.017149,0.253153,-0.266799,-0.011009,0.218149,-0.264408,0.008454,0.162990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-0.279981,0.230711,0.382628,-0.278572,0.017152,0.253148,-0.266804,-0.011001,0.218142,-0.264409,0.008461,0.162981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,-0.279980,0.230713,0.382640,-0.278566,0.017150,0.253162,-0.266804,-0.011006,0.218139,-0.264408,0.008454,0.162986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391667,-0.279986,0.230714,0.382620,-0.278563,0.017146,0.253163,-0.266807,-0.011008,0.218141,-0.264431,0.008470,0.162982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,-0.279986,0.230713,0.382634,-0.278567,0.017140,0.253158,-0.266810,-0.011001,0.218133,-0.264410,0.008454,0.162987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.408333,-0.279984,0.230713,0.382631,-0.278575,0.017154,0.253156,-0.266798,-0.011013,0.218153,-0.264432,0.008466,0.162984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.416667,-0.279988,0.230719,0.382624,-0.278565,0.017148,0.253161,-0.266808,-0.011004,0.218138,-0.264399,0.008445,0.163001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.425000,-0.279988,0.230713,0.382634,-0.278567,0.017146,0.253164,-0.266802,-0.011010,0.218148,-0.264413,0.008461,0.162977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.433333,-0.279982,0.230713,0.382640,-0.278574,0.017149,0.253158,-0.266799,-0.011008,0.218144,-0.264401,0.008450,0.162999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.441667,-0.279984,0.230711,0.382626,-0.278572,0.017152,0.253143,-0.266808,-0.011000,0.218134,-0.264431,0.008467,0.162985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.450000,-0.279988,0.230716,0.382625,-0.278568,0.017155,0.253153,-0.266801,-0.011011,0.218135,-0.264406,0.008453,0.162989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.458333,-0.279978,0.230706,0.382632,-0.278565,0.017154,0.253155,-0.266796,-0.011007,0.218137,-0.264399,0.008447,0.162996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.466667,-0.279981,0.230716,0.382632,-0.278570,0.017144,0.253152,-0.266806,-0.011010,0.218141,-0.264409,0.008453,0.162982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.475000,-0.279981,0.230707,0.382623,-0.278566,0.017145,0.253156,-0.266796,-0.011011,0.218136,-0.264403,0.008454,0.162989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.483333,-0.279983,0.230714,0.382626,-0.278561,0.017142,0.253160,-0.266796,-0.011010,0.218140,-0.264406,0.008457,0.162976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.491667,-0.279983,0.230710,0.382632,-0.278577,0.017149,0.253153,-0.266799,-0.011004,0.218134,-0.264404,0.008450,0.162992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.500000,-0.279987,0.230711,0.382625,-0.278566,0.017146,0.253157,-0.266799,-0.011018,0.218144,-0.264406,0.008452,0.162988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.508333,-0.279978,0.230715,0.382631,-0.278569,0.017148,0.253155,-0.266793,-0.011009,0.218147,-0.264402,0.008453,0.162985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.516667,-0.279984,0.230709,0.382633,-0.278568,0.017153,0.253157,-0.266805,-0.011003,0.218137,-0.264407,0.008450,0.162991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
