,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:175,Unlabeled:175,Unlabeled:175,Unlabeled:177,Unlabeled:177,Unlabeled:177,Unlabeled:179,Unlabeled:179,Unlabeled:179,Unlabeled:180,Unlabeled:180,Unlabeled:180,Unlabeled:186,Unlabeled:186,Unlabeled:186,Unlabeled:191,Unlabeled:191,Unlabeled:191,Unlabeled:197,Unlabeled:197,Unlabeled:197
,,8392B20CF49E357064,8392B20CF49E357064,8392B20CF49E357064,8392B20CF49E357065,8392B20CF49E357065,8392B20CF49E357065,8392B20CF49E357066,8392B20CF49E357066,8392B20CF49E357066,8392B20CF49E357067,8392B20CF49E357067,8392B20CF49E357067,8392B20CF49E3570AF,8392B20CF49E3570AF,8392B20CF49E3570AF,8392B20CF49E3570B1,8392B20CF49E3570B1,8392B20CF49E3570B1,8392B20CF49E3570B3,8392B20CF49E3570B3,8392B20CF49E3570B3,8392B20CF49E3570B4,8392B20CF49E3570B4,8392B20CF49E3570B4,8392B20CF49E3570BA,8392B20CF49E3570BA,8392B20CF49E3570BA,8392B20CF49E3570BF,8392B20CF49E3570BF,8392B20CF49E3570BF,8392B20CF49E3570C5,8392B20CF49E3570C5,8392B20CF49E3570C5
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
32,0.266667,-0.280094,0.231098,0.382172,-0.278536,0.016674,0.252159,-0.266373,-0.012504,0.216965,-0.264192,0.007509,0.163403,,,,,,,,,,,,,,,,,,,,,
33,0.275,-0.280098,0.231092,0.382177,-0.278539,0.016674,0.252161,-0.266376,-0.012515,0.216958,-0.264171,0.007497,0.163425,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.280099,0.231095,0.382173,-0.27853,0.016669,0.252168,-0.266378,-0.012513,0.216957,-0.264171,0.007498,0.163428,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.28009,0.231097,0.382169,-0.278534,0.016666,0.252163,-0.266376,-0.012507,0.216976,-0.26419,0.007511,0.163407,,,,,,,,,,,,,,,,,,,,,
36,0.3,-0.280098,0.231101,0.382161,-0.278533,0.016673,0.252161,-0.266378,-0.012502,0.216963,-0.26419,0.007514,0.163398,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-0.280101,0.231095,0.382169,-0.278543,0.016672,0.252158,-0.266378,-0.012505,0.216975,-0.264184,0.007508,0.163412,,,,,,,,,,,,,,,,,,,,,
38,0.316667,-0.280095,0.231094,0.382166,-0.278533,0.016665,0.252163,-0.266376,-0.012501,0.21697,-0.264188,0.007509,0.163403,,,,,,,,,,,,,,,,,,,,,
39,0.325,-0.280106,0.231097,0.382163,-0.278535,0.016669,0.252158,-0.266378,-0.012506,0.216978,-0.264183,0.007508,0.163414,,,,,,,,,,,,,,,,,,,,,
40,0.333333,-0.280096,0.231097,0.382166,-0.278537,0.016669,0.252164,-0.266376,-0.012515,0.216953,-0.264177,0.007497,0.163419,,,,,,,,,,,,,,,,,,,,,
41,0.341667,-0.280091,0.231097,0.38217,-0.278532,0.016665,0.252169,-0.266368,-0.012511,0.216968,-0.264186,0.007508,0.163407,,,,,,,,,,,,,,,,,,,,,
42,0.35,-0.280097,0.231096,0.382165,-0.27853,0.016668,0.252162,-0.266384,-0.012505,0.216959,-0.264189,0.007513,0.163405,,,,,,,,,,,,,,,,,,,,,
43,0.358333,-0.280099,0.231096,0.382165,-0.278539,0.016674,0.252153,-0.266372,-0.012498,0.216966,-0.264189,0.007512,0.163404,,,,,,,,,,,,,,,,,,,,,
44,0.366667,-0.280089,0.231093,0.38217,-0.27853,0.016674,0.252154,-0.266385,-0.012506,0.216962,-0.264194,0.007513,0.163402,,,,,,,,,,,,,,,,,,,,,
45,0.375,-0.280098,0.231099,0.382163,-0.278533,0.016678,0.25216,-0.266376,-0.012503,0.216957,-0.264189,0.007515,0.163403,,,,,,,,,,,,,,,,,,,,,
46,0.383333,-0.280099,0.231095,0.382166,-0.278538,0.01667,0.252158,-0.266379,-0.012508,0.216952,-0.26418,0.007509,0.163414,,,,,,,,,,,,,,,,,,,,,
47,0.391667,-0.280098,0.231098,0.382164,-0.278539,0.016674,0.252154,-0.266382,-0.012499,0.216967,-0.264187,0.007502,0.16341,,,,,,,,,,,,,,,,,,,,,
48,0.4,-0.280102,0.231095,0.382164,-0.278534,0.016672,0.252161,-0.266386,-0.012513,0.216957,-0.264174,0.007502,0.163415,,,,,,,,,,,,,,,,,,,,,
49,0.408333,-0.280096,0.231094,0.382162,-0.278535,0.016674,0.25216,-0.266385,-0.012519,0.21698,-0.264177,0.007506,0.163415,,,,,,,,,,,,,,,,,,,,,
50,0.416667,-0.2801,0.231098,0.382171,-0.278535,0.016674,0.252156,-0.266378,-0.012516,0.216948,-0.264175,0.007498,0.163423,,,,,,,,,,,,,,,,,,,,,
51,0.425,-0.280092,0.231098,0.382168,-0.278537,0.016676,0.252157,-0.26638,-0.012511,0.216955,-0.264176,0.007503,0.163415,,,,,,,,,,,,,,,,,,,,,
52,0.433333,-0.2801,0.231096,0.382163,-0.27853,0.016672,0.252164,-0.266389,-0.012507,0.216954,-0.264178,0.007502,0.16342,,,,,,,,,,,,,,,,,,,,,
53,0.441667,-0.280095,0.231098,0.382163,-0.278534,0.016676,0.25216,-0.266376,-0.012515,0.216955,-0.26417,0.007508,0.163418,,,,,,,,,,,,,,,,,,,,,
54,0.45,-0.2801,0.231096,0.38217,-0.278529,0.016671,0.252164,-0.266389,-0.012504,0.21695,-0.264169,0.007494,0.163429,,,,,,,,,,,,,,,,,,,,,
55,0.458333,-0.280097,0.231097,0.382171,-0.278534,0.016673,0.252162,-0.266392,-0.012505,0.216952,-0.264176,0.007506,0.163413,,,,,,,,,,,,,,,,,,,,,
56,0.466667,-0.280092,0.231096,0.382169,-0.278535,0.016676,0.252149,-0.26638,-0.012507,0.216954,-0.264175,0.007505,0.16341,,,,,,,,,,,,,,,,,,,,,
57,0.475,-0.280103,0.231096,0.38217,-0.278532,0.016669,0.252161,-0.266379,-0.01251,0.216969,-0.264193,0.007509,0.163403,,,,,,,,,,,,,,,,,,,,,
58,0.483333,-0.280097,0.231101,0.382163,-0.278533,0.016675,0.252158,-0.266381,-0.012515,0.216961,-0.264179,0.007504,0.163416,,,,,,,,,,,,,,,,,,,,,
59,0.491667,-0.280093,0.231098,0.38217,-0.278531,0.016671,0.252162,-0.266383,-0.012512,0.216948,-0.264164,0.007498,0.163423,,,,,,,,,,,,,,,,,,,,,
60,0.5,-0.280093,0.231096,0.382167,-0.278539,0.016669,0.252157,-0.266376,-0.012519,0.216958,-0.264175,0.007499,0.163419,,,,,,,,,,,,,,,,,,,,,
61,0.508333,-0.280095,0.231096,0.382171,-0.278536,0.016675,0.252159,-0.266383,-0.012511,0.216957,-0.264174,0.007503,0.16341,,,,,,,,,,,,,,,,,,,,,
62,0.516667,-0.280093,0.231095,0.382168,-0.278533,0.016671,0.252158,-0.266372,-0.012511,0.216976,-0.264186,0.00751,0.163399,,,,,,,,,,,,,,,,,,,,,
63,0.525,-0.280101,0.231094,0.382167,-0.278536,0.016674,0.252154,-0.266386,-0.012509,0.216961,-0.264172,0.007496,0.16342,,,,,,,,,,,,,,,,,,,,,
64,0.533333,-0.2801,0.2311,0.382166,-0.278537,0.016673,0.252161,-0.266368,-0.012512,0.216981,-0.264188,0.007504,0.16341,,,,,,,,,,,,,,,,,,,,,
65,0.541667,-0.280089,0.231095,0.382176,-0.278529,0.01667,0.252161,-0.266368,-0.012508,0.216976,-0.264186,0.007507,0.163401,,,,,,,,,,,,,,,,,,,,,
66,0.55,-0.280099,0.231096,0.382163,-0.278536,0.016668,0.252163,-0.266368,-0.012523,0.216987,-0.264183,0.007509,0.163403,,,,,,,,,,,,,,,,,,,,,
67,0.558333,-0.280095,0.231096,0.382174,-0.278533,0.01667,0.252161,-0.26637,-0.012518,0.216988,-0.26419,0.007509,0.163403,,,,,,,,,,,,,,,,,,,,,
68,0.566667,-0.280085,0.231092,0.382179,-0.278539,0.016677,0.25215,-0.266381,-0.012505,0.216943,-0.264169,0.007494,0.163422,,,,,,,,,,,,,,,,,,,,,
69,0.575,-0.280093,0.231099,0.382169,-0.278532,0.016672,0.252157,-0.266387,-0.012504,0.216952,-0.264176,0.007504,0.163418,,,,,,,,,,,,,,,,,,,,,
70,0.583333,-0.280093,0.231093,0.38217,-0.278533,0.016673,0.252159,-0.266387,-0.012509,0.21695,-0.26418,0.007506,0.163409,,,,,,,,,,,,,,,,,,,,,
71,0.591667,-0.280091,0.231098,0.382171,-0.278536,0.016669,0.252152,-0.266373,-0.012505,0.216962,-0.26418,0.007509,0.163399,,,,,,,,,,,,,,,,,,,,,
72,0.6,-0.280097,0.231096,0.382171,-0.278537,0.016672,0.252154,-0.266374,-0.01251,0.216982,-0.264183,0.00751,0.163401,,,,,,,,,,,,,,,,,,,,,
