Format Version,1.21,Take Name,Take 2022-02-12 01.06.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-12 01.06.29.074 PM,Total Frames in Take,4575,Total Exported Frames,4575,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:681,Unlabeled:681,Unlabeled:681,Unlabeled:683,Unlabeled:683,Unlabeled:683
,,"8392B20CF49E35702A9","8392B20CF49E35702A9","8392B20CF49E35702A9","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AB"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
181,1.508333,-0.395753,-0.017618,0.426694,-0.586399,0.196801,0.300258
182,1.516667,-0.395703,-0.017595,0.426693,-0.586378,0.196808,0.300261
183,1.525000,-0.395723,-0.017607,0.426688,-0.586360,0.196808,0.300258
184,1.533333,-0.395729,-0.017606,0.426692,-0.586375,0.196800,0.300256
185,1.541667,-0.395719,-0.017610,0.426688,-0.586369,0.196809,0.300254
186,1.550000,-0.395739,-0.017611,0.426689,-0.586384,0.196809,0.300261
187,1.558333,-0.395744,-0.017617,0.426695,-0.586387,0.196808,0.300251
188,1.566667,-0.395692,-0.017594,0.426683,-0.586392,0.196803,0.300255
189,1.575000,-0.395722,-0.017612,0.426691,-0.586387,0.196810,0.300252
190,1.583333,-0.395710,-0.017599,0.426691,-0.586405,0.196799,0.300258
191,1.591667,-0.395739,-0.017611,0.426689,-0.586386,0.196805,0.300255
192,1.600000,-0.395740,-0.017610,0.426698,-0.586367,0.196812,0.300255
193,1.608333,-0.395732,-0.017613,0.426692,-0.586381,0.196805,0.300261
194,1.616667,-0.395723,-0.017612,0.426695,-0.586373,0.196810,0.300253
195,1.625000,-0.395710,-0.017602,0.426694,-0.586371,0.196808,0.300261
196,1.633333,-0.395742,-0.017613,0.426694,-0.586397,0.196809,0.300260
197,1.641667,-0.395739,-0.017615,0.426698,-0.586422,0.196795,0.300259
198,1.650000,-0.395732,-0.017609,0.426699,-0.586390,0.196810,0.300258
199,1.658333,-0.395701,-0.017589,0.426692,-0.586386,0.196802,0.300257
200,1.666667,-0.395728,-0.017613,0.426690,-0.586402,0.196804,0.300259
201,1.675000,-0.395719,-0.017599,0.426691,-0.586368,0.196815,0.300259
202,1.683333,-0.395727,-0.017600,0.426696,-0.586397,0.196799,0.300256
203,1.691667,-0.395741,-0.017616,0.426694,-0.586375,0.196809,0.300257
204,1.700000,-0.395725,-0.017609,0.426693,-0.586374,0.196806,0.300263
205,1.708333,-0.395744,-0.017617,0.426689,-0.586376,0.196805,0.300258
206,1.716667,-0.395718,-0.017603,0.426692,-0.586384,0.196802,0.300254
207,1.725000,-0.395719,-0.017600,0.426695,-0.586370,0.196805,0.300268
208,1.733333,-0.395737,-0.017617,0.426701,-0.586353,0.196818,0.300252
209,1.741667,-0.395708,-0.017595,0.426693,-0.586395,0.196792,0.300260
210,1.750000,-0.395737,-0.017616,0.426693,-0.586369,0.196809,0.300259
211,1.758333,-0.395731,-0.017607,0.426691,-0.586383,0.196801,0.300251
212,1.766667,-0.395733,-0.017612,0.426695,-0.586393,0.196803,0.300255
213,1.775000,-0.395778,-0.017629,0.426695,-0.586386,0.196806,0.300256
214,1.783333,-0.395752,-0.017618,0.426691,-0.586367,0.196807,0.300255
215,1.791667,-0.395748,-0.017617,0.426693,-0.586391,0.196807,0.300259
216,1.800000,-0.395718,-0.017596,0.426691,-0.586397,0.196806,0.300261
217,1.808333,-0.395769,-0.017623,0.426691,-0.586417,0.196801,0.300257
218,1.816667,-0.395750,-0.017608,0.426692,-0.586392,0.196805,0.300258
219,1.825000,-0.395739,-0.017609,0.426700,-0.586398,0.196807,0.300259
220,1.833333,-0.395732,-0.017611,0.426698,-0.586397,0.196799,0.300258
221,1.841667,-0.395760,-0.017628,0.426689,-0.586394,0.196811,0.300258
222,1.850000,-0.395745,-0.017624,0.426696,-0.586396,0.196795,0.300260
223,1.858333,-0.395718,-0.017602,0.426692,-0.586379,0.196804,0.300256
224,1.866667,-0.395726,-0.017609,0.426694,-0.586379,0.196806,0.300259
225,1.875000,-0.395740,-0.017618,0.426691,-0.586401,0.196800,0.300260
226,1.883333,-0.395737,-0.017615,0.426687,-0.586406,0.196793,0.300258
227,1.891667,-0.395732,-0.017616,0.426694,-0.586395,0.196803,0.300261
228,1.900000,-0.395727,-0.017610,0.426692,-0.586380,0.196800,0.300258
229,1.908333,-0.395759,-0.017608,0.426695,-0.586420,0.196796,0.300261
230,1.916667,-0.395744,-0.017613,0.426692,-0.586374,0.196812,0.300257
231,1.925000,-0.395744,-0.017606,0.426698,-0.586394,0.196800,0.300257
232,1.933333,-0.395759,-0.017615,0.426688,-0.586397,0.196801,0.300260
233,1.941667,-0.395704,-0.017589,0.426695,-0.586380,0.196799,0.300259
234,1.950000,-0.395726,-0.017605,0.426698,-0.586394,0.196802,0.300255
235,1.958333,-0.395746,-0.017621,0.426698,-0.586389,0.196800,0.300261
236,1.966667,-0.395738,-0.017610,0.426699,-0.586388,0.196806,0.300263
237,1.975000,-0.395722,-0.017611,0.426690,-0.586378,0.196803,0.300255
238,1.983333,-0.395747,-0.017627,0.426694,-0.586391,0.196800,0.300262
239,1.991667,-0.395736,-0.017613,0.426693,-0.586381,0.196797,0.300261
240,2.000000,-0.395730,-0.017609,0.426690,-0.586392,0.196800,0.300259
241,2.008333,-0.395727,-0.017605,0.426696,-0.586402,0.196803,0.300256
242,2.016667,-0.395709,-0.017597,0.426682,-0.586378,0.196804,0.300261
243,2.025000,-0.395737,-0.017613,0.426698,-0.586395,0.196802,0.300259
244,2.033333,-0.395728,-0.017611,0.426689,-0.586396,0.196803,0.300257
245,2.041667,-0.395722,-0.017611,0.426691,-0.586391,0.196801,0.300255
246,2.050000,-0.395733,-0.017611,0.426689,-0.586368,0.196816,0.300250
247,2.058333,-0.395733,-0.017603,0.426692,-0.586410,0.196798,0.300258
248,2.066667,-0.395735,-0.017607,0.426692,-0.586394,0.196808,0.300259
249,2.075000,-0.395719,-0.017597,0.426693,-0.586402,0.196804,0.300257
250,2.083333,-0.395715,-0.017604,0.426694,-0.586386,0.196803,0.300257
251,2.091667,-0.395701,-0.017591,0.426694,-0.586392,0.196801,0.300259
252,2.100000,-0.395731,-0.017614,0.426695,-0.586360,0.196806,0.300254
253,2.108333,-0.395740,-0.017620,0.426693,-0.586391,0.196801,0.300265
254,2.116667,-0.395713,-0.017606,0.426698,-0.586377,0.196804,0.300256
255,2.125000,-0.395714,-0.017602,0.426692,-0.586385,0.196803,0.300258
256,2.133333,-0.395716,-0.017608,0.426690,-0.586400,0.196795,0.300258
257,2.141667,-0.395696,-0.017592,0.426689,-0.586391,0.196805,0.300261
258,2.150000,-0.395719,-0.017610,0.426695,-0.586379,0.196805,0.300253
259,2.158333,-0.395713,-0.017603,0.426691,-0.586417,0.196791,0.300261
260,2.166667,-0.395729,-0.017614,0.426688,-0.586355,0.196809,0.300255
261,2.175000,-0.395741,-0.017620,0.426690,-0.586385,0.196803,0.300255
262,2.183333,-0.395723,-0.017605,0.426694,-0.586388,0.196797,0.300256
263,2.191667,-0.395704,-0.017602,0.426693,-0.586381,0.196806,0.300257
264,2.200000,-0.395703,-0.017600,0.426695,-0.586375,0.196806,0.300256
265,2.208333,-0.395684,-0.017589,0.426690,-0.586399,0.196800,0.300260
266,2.216667,-0.395718,-0.017604,0.426698,-0.586390,0.196802,0.300258
267,2.225000,-0.395728,-0.017615,0.426694,-0.586405,0.196797,0.300259
268,2.233333,-0.395736,-0.017614,0.426702,-0.586395,0.196796,0.300261
269,2.241667,-0.395714,-0.017602,0.426695,-0.586364,0.196812,0.300251
270,2.250000,-0.395737,-0.017614,0.426690,-0.586413,0.196799,0.300264
271,2.258333,-0.395724,-0.017608,0.426697,-0.586381,0.196812,0.300260
272,2.266667,-0.395719,-0.017606,0.426686,-0.586398,0.196801,0.300257
273,2.275000,-0.395744,-0.017619,0.426695,-0.586402,0.196802,0.300257
274,2.283333,-0.395709,-0.017603,0.426691,-0.586425,0.196794,0.300256
275,2.291667,-0.395748,-0.017617,0.426693,-0.586387,0.196803,0.300254
276,2.300000,-0.395725,-0.017607,0.426687,-0.586414,0.196799,0.300256
277,2.308333,-0.395737,-0.017610,0.426702,-0.586395,0.196802,0.300257
278,2.316667,-0.395727,-0.017607,0.426692,-0.586377,0.196803,0.300253
279,2.325000,-0.395734,-0.017611,0.426696,-0.586406,0.196799,0.300261
280,2.333333,-0.395697,-0.017594,0.426688,-0.586390,0.196804,0.300257
281,2.341667,-0.395712,-0.017604,0.426696,-0.586387,0.196797,0.300259
282,2.350000,-0.395759,-0.017626,0.426692,-0.586389,0.196802,0.300260
283,2.358333,-0.395721,-0.017603,0.426694,-0.586368,0.196805,0.300253
284,2.366667,-0.395708,-0.017602,0.426693,-0.586394,0.196804,0.300256
285,2.375000,-0.395750,-0.017614,0.426694,-0.586401,0.196794,0.300262
286,2.383333,-0.395741,-0.017615,0.426688,-0.586374,0.196816,0.300253
287,2.391667,-0.395715,-0.017601,0.426686,-0.586395,0.196798,0.300261
288,2.400000,-0.395750,-0.017622,0.426692,-0.586370,0.196809,0.300251
289,2.408333,-0.395744,-0.017621,0.426696,-0.586392,0.196806,0.300259
290,2.416667,-0.395758,-0.017627,0.426695,-0.586425,0.196791,0.300252
291,2.425000,-0.395725,-0.017614,0.426693,-0.586406,0.196802,0.300259
292,2.433333,-0.395716,-0.017608,0.426690,-0.586359,0.196807,0.300254
293,2.441667,-0.395726,-0.017612,0.426697,-0.586396,0.196797,0.300257
294,2.450000,-0.395714,-0.017598,0.426689,-0.586394,0.196803,0.300253
295,2.458333,-0.395715,-0.017603,0.426692,-0.586408,0.196797,0.300258
296,2.466667,-0.395748,-0.017622,0.426694,-0.586409,0.196801,0.300259
297,2.475000,-0.395735,-0.017612,0.426690,-0.586396,0.196798,0.300263
298,2.483333,-0.395730,-0.017605,0.426702,-0.586397,0.196803,0.300259
299,2.491667,-0.395743,-0.017615,0.426692,-0.586392,0.196802,0.300256
300,2.500000,-0.395728,-0.017606,0.426686,-0.586376,0.196807,0.300254
301,2.508333,-0.395747,-0.017621,0.426695,-0.586387,0.196801,0.300256
302,2.516667,-0.395746,-0.017623,0.426693,-0.586380,0.196806,0.300256
303,2.525000,-0.395746,-0.017619,0.426696,-0.586388,0.196803,0.300261
304,2.533333,-0.395713,-0.017605,0.426691,-0.586406,0.196799,0.300256
305,2.541667,-0.395734,-0.017613,0.426689,-0.586387,0.196803,0.300251
306,2.550000,-0.395727,-0.017604,0.426697,-0.586403,0.196803,0.300255
307,2.558333,-0.395723,-0.017612,0.426688,-0.586379,0.196811,0.300256
308,2.566667,-0.395752,-0.017623,0.426691,-0.586396,0.196796,0.300259
309,2.575000,-0.395691,-0.017606,0.426692,-0.586383,0.196801,0.300259
310,2.583333,-0.395737,-0.017620,0.426688,-0.586405,0.196797,0.300258
311,2.591667,-0.395738,-0.017616,0.426699,-0.586375,0.196804,0.300255
312,2.600000,-0.395728,-0.017609,0.426693,-0.586379,0.196801,0.300263
313,2.608333,-0.395745,-0.017609,0.426691,-0.586406,0.196797,0.300261
314,2.616667,-0.395713,-0.017594,0.426694,-0.586395,0.196805,0.300257
315,2.625000,-0.395726,-0.017601,0.426701,-0.586377,0.196815,0.300253
316,2.633333,-0.395754,-0.017616,0.426694,-0.586395,0.196800,0.300260
317,2.641667,-0.395720,-0.017605,0.426687,-0.586400,0.196807,0.300252
318,2.650000,-0.395726,-0.017606,0.426689,-0.586390,0.196805,0.300260
319,2.658333,-0.395762,-0.017615,0.426702,-0.586410,0.196802,0.300256
320,2.666667,-0.395721,-0.017606,0.426697,-0.586396,0.196806,0.300259
321,2.675000,-0.395717,-0.017603,0.426692,-0.586386,0.196801,0.300262
322,2.683333,-0.395709,-0.017601,0.426692,-0.586349,0.196808,0.300256
